5.0 0.0 0.035 -0.035 0.0
# T[GeV] y Γ_s[GeV] Γ̄_s[GeV] s[GeV^3] H[GeV] P[GeV^4] dtdT[GeV^-2] Va[GeV] Vabar[GeV]
1.0277315990e-02 3.3121e+00 6.221e-17 8.482e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 3.4727e+00 6.682e-17 9.093e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 3.6333e+00 6.986e-17 9.446e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 3.7939e+00 7.303e-17 9.801e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 3.9545e+00 7.687e-17 1.027e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 4.1152e+00 8.034e-17 1.070e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 4.2758e+00 8.410e-17 1.116e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 4.4364e+00 8.869e-17 1.175e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 4.5970e+00 9.229e-17 1.219e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 4.7576e+00 9.521e-17 1.252e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 4.9182e+00 9.899e-17 1.297e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 5.0788e+00 1.027e-16 1.343e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 5.2394e+00 1.063e-16 1.386e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 5.4000e+00 1.107e-16 1.442e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 5.5606e+00 1.149e-16 1.495e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 5.7212e+00 1.177e-16 1.526e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 5.8818e+00 1.213e-16 1.568e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 6.0424e+00 1.253e-16 1.617e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 6.2030e+00 1.287e-16 1.658e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 6.3636e+00 1.330e-16 1.712e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 6.5242e+00 1.378e-16 1.773e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 6.6848e+00 1.404e-16 1.801e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
